OBJECTID_1,RASTERVALU,SPMT,SPMT(1),SPMT(2)
2469,1,Siliceous loamy (2),2,2
2474,1,Siliceous loamy (2),2,2
2478,1,Siliceous loamy (2),2,2
2481,1,Siliceous loamy (2),2,2
2482,1,Siliceous loamy (2),2,2
2486,1,Siliceous loamy (2),2,2
2488,1,Siliceous loamy (2),2,2
2495,1,Siliceous loamy (2),2,2
2502,1,Siliceous loamy (2),2,2
2504,1,Siliceous loamy (2),2,2
2510,1,Siliceous loamy (2),2,2
2518,1,Siliceous loamy (2),2,2
2520,1,Siliceous loamy (2),2,2
2521,1,Siliceous loamy (2),2,2
2523,1,Siliceous loamy (2),2,2
2527,1,Siliceous loamy (2),2,2
2531,1,Siliceous loamy (2),2,2
2533,1,Siliceous loamy (2),2,2
2534,1,Siliceous loamy (2),2,2
2542,1,Siliceous loamy (2),2,2
2544,1,Siliceous loamy (2),2,2
2547,1,Siliceous loamy (2),2,2
2553,1,Siliceous loamy (2),2,2
2555,1,Siliceous loamy (2),2,2
2558,1,Siliceous loamy (2),2,2
2561,1,Siliceous loamy (2),2,2
2562,1,Siliceous loamy (2),2,2
2563,1,Siliceous loamy (2),2,2
2565,1,Siliceous loamy (2),2,2
2572,1,Siliceous loamy (2),2,2
2573,1,Siliceous loamy (2),2,2
2579,1,Siliceous loamy (2),2,2
2580,1,Siliceous loamy (2),2,2
2583,1,Siliceous loamy (2),2,2
2587,1,Siliceous loamy (2),2,2
2588,1,Siliceous loamy (2),2,2
2591,1,Siliceous loamy (2),2,2
2599,1,Siliceous loamy (2),2,2
2600,1,Siliceous loamy (2),2,2
2606,1,Siliceous loamy (2),2,2
2608,1,Siliceous loamy (2),2,2
2610,1,Siliceous loamy (2),2,2
2619,1,Siliceous loamy (2),2,2
2621,1,Siliceous loamy (2),2,2
2626,1,Siliceous loamy (2),2,2
2627,1,Siliceous loamy (2),2,2
2634,1,Siliceous loamy (2),2,2
2636,1,Siliceous loamy (2),2,2
2638,1,Siliceous loamy (2),2,2
2640,1,Siliceous loamy (2),2,2
2642,1,Siliceous loamy (2),2,2
2643,1,Siliceous loamy (2),2,2
2645,1,Siliceous loamy (2),2,2
2648,1,Siliceous loamy (2),2,2
2649,1,Siliceous loamy (2),2,2
2650,1,Siliceous loamy (2),2,2
2657,1,Siliceous loamy (2),2,2
2659,1,Siliceous loamy (2),2,2
2664,1,Siliceous loamy (2),2,2
2665,1,Siliceous loamy (2),2,2
2667,1,Siliceous loamy (2),2,2
2674,1,Siliceous loamy (2),2,2
2676,1,Siliceous loamy (2),2,2
2684,1,Siliceous loamy (2),2,2
2690,1,Siliceous loamy (2),2,2
2691,1,Siliceous loamy (2),2,2
2693,1,Siliceous loamy (2),2,2
2695,1,Siliceous loamy (2),2,2
2696,1,Siliceous loamy (2),2,2
2700,1,Siliceous loamy (2),2,2
2702,1,Siliceous loamy (2),2,2
2707,1,Siliceous loamy (2),2,2
2711,1,Siliceous loamy (2),2,2
2713,1,Siliceous loamy (2),2,2
2716,1,Siliceous loamy (2),2,2
2719,1,Siliceous loamy (2),2,2
2724,1,Siliceous loamy (2),2,2
2727,1,Siliceous loamy (2),2,2
2728,1,Siliceous loamy (2),2,2
2729,1,Siliceous loamy (2),2,2
2731,1,Siliceous loamy (2),2,2
2736,1,Siliceous loamy (2),2,2
2744,1,Siliceous loamy (2),2,2
2746,1,Siliceous loamy (2),2,2
2749,1,Siliceous loamy (2),2,2
19,2,Siliceous loamy (2),2+3,2+3
21,2,Siliceous loamy (2),2+3,2+3
30,2,Siliceous loamy (2),2+3,2+3
33,2,Siliceous loamy (2),2+3,2+3
54,2,Siliceous loamy (2),2+3,2+3
79,2,Siliceous loamy (2),2+3,2+3
88,2,Siliceous loamy (2),2+3,2+3
99,2,Siliceous loamy (2),2+3,2+3
112,2,Siliceous loamy (2),2+3,2+3
116,2,Siliceous loamy (2),2+3,2+3
139,2,Siliceous loamy (2),2+3,2+3
144,2,Siliceous loamy (2),2+3,2+3
158,2,Siliceous loamy (2),2+3,2+3
160,2,Siliceous loamy (2),2+3,2+3
162,2,Siliceous loamy (2),2+3,2+3
