OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
227,2,1554.589099,120.96376,124.508522,3.544762,122.736141,1.772381,245.472282
228,2,1554.589099,194.03624,206.565048,12.528809,200.300644,6.264404,400.601288
229,2,1554.589099,203.198593,210.96376,7.765167,207.081177,3.882584,414.162354
230,1,777.294549,315,315,0,315,0,315
231,1,777.294549,152.102722,152.102722,0,152.102722,0,152.102722
232,2,1554.589099,59.349331,69.775139,10.425808,64.562235,5.212904,129.12447
233,1,777.294549,180,180,0,180,0,180
234,1,777.294549,300.963745,300.963745,0,300.963745,0,300.963745
235,1,777.294549,95.194427,95.194427,0,95.194427,0,95.194427
236,2,1554.589099,45,333.434937,288.434937,189.217468,144.217468,378.434937
237,1,777.294549,353.659821,353.659821,0,353.659821,0,353.659821
238,1,777.294549,333.434937,333.434937,0,333.434937,0,333.434937
239,1,777.294549,45,45,0,45,0,45
240,2,1554.589099,180,185.194427,5.194427,182.597214,2.597214,365.194427
241,1,777.294549,155.556046,155.556046,0,155.556046,0,155.556046
242,2,1554.589099,0,84.805573,84.805573,42.402786,42.402786,84.805573
243,2,1554.589099,194.743561,194.743561,0,194.743561,0,389.487122
244,2,1554.589099,251.565048,270,18.434952,260.782524,9.217476,521.565048
245,2,1554.589099,225,235.30484,10.30484,230.15242,5.15242,460.30484
246,2,1554.589099,247.750977,297.552795,49.801819,272.651886,24.900909,545.303772
247,1,777.294549,180,180,0,180,0,180
248,2,1554.589099,180,180,0,180,0,360
249,2,1554.589099,305.21759,321.842773,16.625183,313.530182,8.312592,627.060364
250,2,1554.589099,341.565063,346.218414,4.653351,343.891739,2.326675,687.783478
251,2,1554.589099,35.134193,42.917435,7.783241,39.025814,3.891621,78.051628
252,2,1554.589099,245.556046,264.805573,19.249527,255.180809,9.624763,510.361618
253,1,777.294549,0,0,0,0,0,0
254,2,1554.589099,225,229.763641,4.763641,227.381821,2.381821,454.763641
255,2,1554.589099,153.434952,161.565048,8.130096,157.5,4.065048,315
256,2,1554.589099,278.130096,298.300751,20.170654,288.215424,10.085327,576.430847
257,2,1554.589099,129.093857,147.80426,18.710403,138.449059,9.355202,276.898117
258,2,1554.589099,171.253845,190.00798,18.754135,180.630913,9.377068,361.261826
259,1,777.294549,196.557068,196.557068,0,196.557068,0,196.557068
260,2,1554.589099,83.659805,90,6.340195,86.829903,3.170097,173.659805
261,2,1554.589099,63.060471,68.749496,5.689026,65.904984,2.844513,131.809967
262,2,1554.589099,23.198589,38.659809,15.46122,30.929199,7.73061,61.858398
263,1,777.294549,295.709961,295.709961,0,295.709961,0,295.709961
264,1,777.294549,335.323151,335.323151,0,335.323151,0,335.323151
265,2,1554.589099,9.162346,329.931427,320.769081,169.546886,160.384541,339.093773
266,2,1554.589099,201.801407,229.763641,27.962234,215.782524,13.981117,431.565048
267,2,1554.589099,87.709389,109.983109,22.27372,98.846249,11.13686,197.692497
268,2,1554.589099,141.340195,143.130096,1.789902,142.235146,0.894951,284.470291
269,2,1554.589099,111.801407,315,203.198593,213.400703,101.599297,426.801407
270,2,1554.589099,206.565048,225,18.434952,215.782524,9.217476,431.565048
271,1,777.294549,105.255119,105.255119,0,105.255119,0,105.255119
272,1,777.294549,26.56505,26.56505,0,26.56505,0,26.56505
273,1,777.294549,71.565048,71.565048,0,71.565048,0,71.565048
274,1,777.294549,71.565048,71.565048,0,71.565048,0,71.565048
275,2,1554.589099,233.130096,270,36.869904,251.565048,18.434952,503.130096
276,2,1554.589099,1.218874,356.099518,354.880643,178.659196,177.440322,357.318392
277,1,777.294549,176.185928,176.185928,0,176.185928,0,176.185928
278,1,777.294549,33.690067,33.690067,0,33.690067,0,33.690067
279,2,1554.589099,251.565048,270,18.434952,260.782524,9.217476,521.565048
280,2,1554.589099,207.255325,216.869904,9.614578,212.062614,4.807289,424.125229
281,1,777.294549,146.768295,146.768295,0,146.768295,0,146.768295
282,2,1554.589099,198.434952,217.874985,19.440033,208.154968,9.720016,416.309937
283,1,777.294549,23.198589,23.198589,0,23.198589,0,23.198589
284,1,777.294549,135,135,0,135,0,135
285,1,777.294549,226.332214,226.332214,0,226.332214,0,226.332214
286,1,777.294549,142.125015,142.125015,0,142.125015,0,142.125015
287,1,777.294549,16.557072,16.557072,0,16.557072,0,16.557072
288,2,1554.589099,111.801407,158.962494,47.161087,135.38195,23.580544,270.763901
289,1,777.294549,133.15239,133.15239,0,133.15239,0,133.15239
290,2,1554.589099,340.201111,353.157227,12.956116,346.679169,6.478058,693.358337
291,1,777.294549,161.565048,161.565048,0,161.565048,0,161.565048
292,2,1554.589099,141.911224,150.255112,8.343887,146.083168,4.171944,292.166336
293,1,777.294549,201.037506,201.037506,0,201.037506,0,201.037506
294,2,1554.589099,268.152405,291.447723,23.295319,279.800064,11.647659,559.600128
295,2,1554.589099,243.434952,247.619873,4.184921,245.527412,2.092461,491.054825
296,2,1554.589099,82.874985,333.434937,250.559952,208.154961,125.279976,416.309921
297,2,1554.589099,99.462326,102.994614,3.532288,101.22847,1.766144,202.45694
298,2,1554.589099,90,102.994614,12.994614,96.497307,6.497307,192.994614
299,1,777.294549,42.137596,42.137596,0,42.137596,0,42.137596
300,1,777.294549,46.735703,46.735703,0,46.735703,0,46.735703
301,2,1554.589099,259.508514,273.012787,13.504272,266.260651,6.752136,532.521301
302,2,1554.589099,-1,-1,0,-1,0,-2
303,2,1554.589099,7.594643,21.801409,14.206766,14.698026,7.103383,29.396051
304,1,777.294549,300.718903,300.718903,0,300.718903,0,300.718903
305,1,777.294549,239.03624,239.03624,0,239.03624,0,239.03624
306,2,1554.589099,40.135487,55.124672,14.989185,47.630079,7.494593,95.260159
307,2,1554.589099,230.194427,258.690063,28.495636,244.442245,14.247818,488.884491
308,2,1554.589099,273.814087,279.462311,5.648224,276.638199,2.824112,553.276398
309,2,1554.589099,54.462322,64.983109,10.520786,59.722715,5.260393,119.445431
310,2,1554.589099,52.594643,135,82.405357,93.797321,41.202679,187.594643
311,1,777.294549,198.434952,198.434952,0,198.434952,0,198.434952
312,2,1554.589099,45,59.036243,14.036243,52.018122,7.018122,104.036243
313,2,1554.589099,280.007965,289.179016,9.171051,284.593491,4.585526,569.186981
314,1,777.294549,217.234833,217.234833,0,217.234833,0,217.234833
315,2,1554.589099,314.012238,317.910828,3.89859,315.961533,1.949295,631.923065
316,2,1554.589099,172.874985,183.814072,10.939087,178.344528,5.469543,356.689056
317,2,1554.589099,257.735229,315,57.264771,286.367615,28.632385,572.735229
318,1,777.294549,148.240524,148.240524,0,148.240524,0,148.240524
319,2,1554.589099,284.743561,315,30.256439,299.87178,15.12822,599.743561
320,2,1554.589099,38.884495,48.179829,9.295334,43.532162,4.647667,87.064323
321,2,1554.589099,179.215179,183.270493,4.055313,181.242836,2.027657,362.485672
322,2,1554.589099,251.565048,256.504272,4.939224,254.03466,2.469612,508.069321
323,2,1554.589099,86.633537,86.987213,0.353676,86.810375,0.176838,173.62075
324,2,1554.589099,288.434937,305.537689,17.102753,296.986313,8.551376,593.972626
325,1,777.294549,225,225,0,225,0,225
326,1,777.294549,163.610458,163.610458,0,163.610458,0,163.610458
327,2,1554.589099,32.195732,356.987213,324.791481,194.591473,162.395741,389.182945
328,1,777.294549,168.690063,168.690063,0,168.690063,0,168.690063
329,2,1554.589099,164.744888,167.005386,2.260498,165.875137,1.130249,331.750275
330,1,777.294549,215.537674,215.537674,0,215.537674,0,215.537674
