OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
374,1554.589099,3.9067,4.929098,1.022398,4.417899,0.511199,8.835798
375,1554.589099,0.812289,1.624252,0.811963,1.218271,0.405981,2.436541
376,777.294549,8.652605,8.652605,0,8.652605,0,8.652605
377,1554.589099,4.72599,5.433025,0.707035,5.079508,0.353517,10.159015
378,777.294549,2.9264,2.9264,0,2.9264,0,2.9264
379,1554.589099,22.398556,23.737438,1.338882,23.067997,0.669441,46.135994
380,777.294549,0.726543,0.726543,0,0.726543,0,0.726543
381,777.294549,28.254559,28.254559,0,28.254559,0,28.254559
382,1554.589099,1.815848,3.079659,1.263811,2.447753,0.631905,4.895506
383,1554.589099,19.548683,23.942419,4.393736,21.745551,2.196868,43.491102
384,1554.589099,14.401046,21.87632,7.475274,18.138683,3.737637,36.277366
385,777.294549,10.491488,10.491488,0,10.491488,0,10.491488
386,1554.589099,17.27305,17.74781,0.47476,17.51043,0.23738,35.020861
387,1554.589099,9.01442,9.714684,0.700265,9.364552,0.350132,18.729104
388,1554.589099,6.793604,9.035639,2.242035,7.914621,1.121017,15.829243
389,777.294549,11.075026,11.075026,0,11.075026,0,11.075026
390,777.294549,18.843571,18.843571,0,18.843571,0,18.843571
391,1554.589099,1.497547,1.955623,0.458076,1.726585,0.229038,3.45317
392,777.294549,1.624252,1.624252,0,1.624252,0,1.624252
