Site,Layer,Material,Method,Lab Code,Age,SD,Obs,Reference
Gruta da Figueira Brava,ENTRANCE 3 1402-2,Speleothem,U-Th,UEVA 1052,63355,7217,"All three samples document flowstone formation across the whole area, with subsample 1402-1 providing a minimum age of 57.3 ka for the underlying, eroded sedimentary fill. The sub-samples from sample 1026 are for a single calcite lamina from the flowstone (unit UC1) capping a remnant of the UC complex.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1405-1 (top),Speleothem,U-Th,UEVA 987,46184,16162,"All three samples document flowstone formation across the whole area, with subsample 1402-1 providing a minimum age of 57.3 ka for the underlying, eroded sedimentary fill. The sub-samples from sample 1026 are for a single calcite lamina from the flowstone (unit UC1) capping a remnant of the UC complex.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1405-3 (base),Speleothem,U-Th,UEVA 989,46360,13105,"All three samples document flowstone formation across the whole area, with subsample 1402-1 providing a minimum age of 57.3 ka for the underlying, eroded sedimentary fill. The sub-samples from sample 1026 are for a single calcite lamina from the flowstone (unit UC1) capping a remnant of the UC complex.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027-1,Speleothem,U-Th,UTO 264,78666,3482,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027-2,Speleothem,U-Th,UTO 265,83866,9771,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027-3,Speleothem,U-Th,UTO 266,81850,1717,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027-4,Speleothem,U-Th,UEVA 1821,81841,3697,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027-5,Speleothem,U-Th,UEVA 1822,84445,3997,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1027 isochron,Speleothem,U-Th,,81000,6000,Dates a single calcite lamina taken along the outer rind of a stalagmite hanging from the roof above the erosionally truncated sedimentary fill. The isochron date provides a minimum age (75.0 ka) for the underlying sequence and a maximum age (87.0 ka) for the deposition of the sediments of the UC complex that eventually buried the speleothem.,Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1029-2,Speleothem,U-Th,UEVA 1820,93162,2382,"From the rind of the column separating Area F from Entrance 3, constrains the deposition of the UC complex to <91.0 ka",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1029-1,Speleothem,U-Th,UEVA 1819,89573,1395,"From the rind of the column separating Area F from Entrance 3, constrains the deposition of the UC complex to <91.0 ka",Zilhão et al. 2020
Gruta da Figueira Brava,AREA C Layer 2,Patella depressa,C14,OxA-19978,2677,28,complete,Zilhão et al. 2020
Gruta da Figueira Brava,"AREA C Layer 2, 60 cm below 1st bone bed",Patella vulgata,C14,OxA-19979,36420,240,top missing,Zilhão et al. 2020
Gruta da Figueira Brava,AREA C Layer 2,Patella vulgata,C14,OxA-19980,39750,400,complete,Zilhão et al. 2020
Gruta da Figueira Brava,AREA C Layer 2,Patella vulgata,C14,OxA-19981,40380,340,"almost complete, broken in 3 pieces, hole on the top",Zilhão et al. 2020
Gruta da Figueira Brava,AREA C Layer 2,Patella vulgata,C14,OxA-19982,44900,500,"almost complete, broken in 3 pieces, hole on the top",Zilhão et al. 2020
Gruta da Figueira Brava,"AREA F spit A1, unit IT0",Patella vulgata,C14,OxA-24055,12880,45,"almost complete, minor edge break",Zilhão et al. 2020
Gruta da Figueira Brava,"AREA F spit A1, unit IT0",Littorina obtusata,C14,OS-114170,7390,25,perforated,Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC2, 6.705 m asl",Patella sp.,,OxA-24051,44050,450,"complete, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC2, 6.576 m asl",Patella vulgata,,OxA-24052,41890,360,"complete, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC2, 5.914 m asl",Glycymeris sp.,,OxA-24053,23120,90,"small ventral margin fragment, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC2, 5.784 m asl",Glycymeris sp.,,OxA-24054,36530,230,"large valve fragment, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC2, 5.784 m asl",Mytilus sp.,,OxA-X-2446-7,32250,180,"small valve fragment, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit MC3, 5.464 m asl",Patella sp.,,OxA-24050,36420,230,"broken, in rock-grade breccia",Zilhão et al. 2020
Gruta da Figueira Brava,"ENTRANCE 3 unit LC1, 4.918 m asl",Mytilus sp.,,OxA-X-2442-10,13720,50,"valve fragments, in rock-grade breccia",Zilhão et al. 2020
Gruta da Oliveira,8,Olea sp.,AMS,GrA-29384,6055,45,Intrusive (from a burrow),Angelucci e Zilhão 2009
Gruta da Oliveira,8,Burnt bone,AMS,GrA-10200,35760,280,Alcaline fraction,Angelucci e Zilhão 2009
Gruta da Oliveira,8,Burnt bone,AMS,OxA-8671,37100,830,,Angelucci e Zilhão 2009
Gruta da Oliveira,9,Burnt bone,AMS,GrA-9760,42610,390,Alacaline fraction,Angelucci e Zilhão 2009
Gruta da Oliveira,9,Burnt bone,AMS,Beta-111967,44080,990,,Angelucci e Zilhão 2009
Gruta da Oliveira,11,Burnt bone,AMS,OxA-8672,46070,1330,,Angelucci e Zilhão 2009
Gruta da Oliveira,11,Burnt bone,AMS,OxA-9379,>25850,550,Low collagen,Angelucci e Zilhão 2009
Gruta da Oliveira,12,Pinus sp.,AMS,GrA-24408,26940,1.08,Minimum age,Angelucci e Zilhão 2009
Gruta da Oliveira,13,Erica sp.,AMS,GrA-24410,43310,490,,Angelucci e Zilhão 2009
Gruta da Oliveira,14,Pinus sylvestris,AMS,GrA-22024,46350,2050,,Angelucci e Zilhão 2009
Gruta da Oliveira,14,Pinus sylvestris,AMS,OxA-13137,27850,550,Minimum age,Angelucci e Zilhão 2009
Gruta da Oliveira,14,Pinus sylvestris,AMS,Beta-183537,44380,960,,Angelucci e Zilhão 2009
Gruta da Oliveira,15,Pinus sylvestris,AMS,GrA-24407,42160,340,,Angelucci e Zilhão 2009
